,Word,Frequency
0,the,4
1,you,4
2,to,4
3,and,4
4,a,4
5,of,4
6,i,4
7,is,4
8,in,4
9,for,4
10,s,4
11,it,4
12,your,4
13,my,4
14,thi,4
15,on,4
16,with,4
17,we,4
18,be,4
19,are,4
20,t,4
21,all,4
22,that,4
23,amp,4
24,have,4
25,me,4
26,what,4
27,day,4
28,life,4
29,our,4
30,can,4
31,at,4
32,by,4
33,like,4
34,do,4
35,out,4
36,from,4
37,so,4
38,one,4
39,get,4
40,now,4
41,how,4
42,will,4
43,if,4
44,but,4
45,more,4
46,make,4
47,us,4
48,follow,4
49,new,4
50,today,4
51,who,4
52,up,4
53,good,4
54,just,4
55,when,4
56,don,4
57,here,4
58,ha,4
59,as,4
60,or,4
61,go,4
62,an,4
63,look,4
64,m,4
65,need,4
66,they,4
67,check,4
68,about,4
69,no,4
70,come,4
71,via,4
72,way,4
73,share,4
74,free,4
75,women,4
76,re,4
77,see,4
78,great,4
79,these,4
80,covid,4
81,use,4
82,first,4
83,love,3
84,not,3
85,time,3
86,know,3
87,live,3
88,want,3
89,wa,3
90,take,3
91,shop,3
92,feel,3
93,some,3
94,let,3
95,hi,3
96,there,3
97,peopl,3
98,her,3
99,gt,3
100,help,3
101,support,3
102,thing,3
103,say,3
104,learn,3
105,onli,3
106,chang,3
107,find,3
108,read,3
109,think,3
110,start,3
111,even,3
112,link,3
113,travel,3
114,their,3
115,money,3
116,best,3
117,design,3
118,kid,3
119,work,3
120,had,3
121,most,3
122,show,3
123,than,3
124,march,3
125,onlin,3
126,back,3
127,product,3
128,click,3
129,call,3
130,been,3
131,year,3
132,post,3
133,news,3
134,top,3
135,d,3
136,busi,3
137,week,3
138,latest,3
139,beauti,2
140,happi,2
141,music,2
142,art,2
143,fashion,2
144,inspir,2
145,motiv,2
146,tuesday,2
147,thank,2
148,he,2
149,would,2
150,natur,2
151,never,2
152,alway,2
153,give,2
154,gift,2
155,style,2
156,them,2
157,photographi,2
158,through,2
159,over,2
160,world,2
161,am,2
162,instagram,2
163,cute,2
164,home,2
165,watch,2
166,store,2
167,artist,2
168,other,2
169,right,2
170,pleas,2
171,video,2
172,may,2
173,th,2
174,st,2
175,stori,2
176,cloth,2
177,those,2
178,spring,2
179,black,2
180,well,2
181,avail,2
182,fit,2
183,amazon,2
184,care,2
185,off,2
186,did,2
187,set,2
188,power,2
189,veri,2
190,girl,2
191,posit,2
192,still,2
193,were,2
194,tell,2
195,twitter,2
196,made,2
197,usa,2
198,health,2
199,doe,2
200,pandem,2
201,whi,2
202,uk,2
203,join,2
204,mani,2
205,account,2
206,into,2
207,plan,2
208,long,2
209,open,2
210,ap,2
211,should,2
212,import,2
213,due,2
214,talk,2
215,million,2
216,research,2
217,team,2
218,podcast,2
219,big,2
220,servic,2
221,social,2
222,provid,2
223,trend,2
224,sale,2
225,brand,2
226,high,2
227,ad,2
228,logo,2
229,websit,2
230,digit,2
231,small,2
232,custom,2
233,tech,2
234,god,1
235,quot,1
236,heart,1
237,peac,1
238,jesu,1
239,hope,1
240,bless,1
241,book,1
242,famili,1
243,relationship,1
244,friend,1
245,kind,1
246,much,1
247,song,1
248,dog,1
249,morn,1
250,joy,1
251,smile,1
252,instagood,1
253,faith,1
254,thought,1
255,everi,1
256,becaus,1
257,human,1
258,person,1
259,youtub,1
260,littl,1
261,amaz,1
262,self,1
263,yourself,1
264,she,1
265,bibl,1
266,stay,1
267,everyon,1
268,cat,1
269,keep,1
270,believ,1
271,miss,1
272,someon,1
273,affiliatemarket,1
274,wish,1
275,photooftheday,1
276,ll,1
277,him,1
278,light,1
279,flower,1
280,date,1
281,word,1
282,better,1
283,funni,1
284,quoteoftheday,1
285,enjoy,1
286,romanc,1
287,move,1
288,togeth,1
289,meme,1
290,u,1
291,perfect,1
292,which,1
293,tri,1
294,horoscop,1
295,food,1
296,listen,1
297,heal,1
298,anim,1
299,experi,1
300,ever,1
301,true,1
302,celebr,1
303,vaccin,1
304,coronaviru,1
305,case,1
306,test,1
307,after,1
308,death,1
309,dure,1
310,mask,1
311,astrazeneca,1
312,lockdown,1
313,report,1
314,ve,1
315,last,1
316,face,1
317,america,1
318,bank,1
319,state,1
320,updat,1
321,eu,1
322,impact,1
323,govern,1
324,india,1
325,countri,1
326,school,1
327,got,1
328,sinc,1
329,control,1
330,nh,1
331,given,1
332,hospit,1
333,dose,1
334,again,1
335,nation,1
336,studi,1
337,number,1
338,risk,1
339,relief,1
