,Word,Frequency
0,it,4
1,the,4
2,to,4
3,you,4
4,a,4
5,and,4
6,for,4
7,in,4
8,your,4
9,is,4
10,of,4
11,i,4
12,like,4
13,s,4
14,on,4
15,with,4
16,at,4
17,get,4
18,new,4
19,thi,4
20,t,4
21,day,4
22,amp,4
23,be,4
24,can,4
25,are,4
26,us,4
27,out,4
28,up,4
29,today,4
30,that,4
31,our,4
32,now,4
33,follow,4
34,we,4
35,do,4
36,have,4
37,time,4
38,me,4
39,or,4
40,more,4
41,free,4
42,work,4
43,if,4
44,look,4
45,all,4
46,go,4
47,not,4
48,what,4
49,will,4
50,just,4
51,here,4
52,from,4
53,one,4
54,how,4
55,by,4
56,who,4
57,make,4
58,but,4
59,need,4
60,so,4
61,great,4
62,good,4
63,use,4
64,check,4
65,no,4
66,start,4
67,help,4
68,best,4
69,m,4
70,don,4
71,when,4
72,about,4
73,an,4
74,come,4
75,want,4
76,open,4
77,see,4
78,peopl,4
79,re,4
80,these,4
81,take,4
82,some,4
83,year,4
84,as,4
85,top,4
86,wa,4
87,way,4
88,there,4
89,know,4
90,ha,4
91,into,4
92,join,4
93,via,4
94,everi,4
95,busi,4
96,they,4
97,whi,4
98,health,3
99,my,3
100,train,3
101,back,3
102,design,3
103,women,3
104,week,3
105,onli,3
106,over,3
107,would,3
108,live,3
109,than,3
110,product,3
111,after,3
112,video,3
113,share,3
114,think,3
115,right,3
116,better,3
117,build,3
118,watch,3
119,power,3
120,been,3
121,thing,3
122,news,3
123,their,3
124,support,3
125,read,3
126,call,3
127,th,3
128,servic,3
129,world,3
130,first,3
131,learn,3
132,most,3
133,march,3
134,did,3
135,which,3
136,market,3
137,had,3
138,find,3
139,compani,3
140,fit,2
141,shop,2
142,diet,2
143,love,2
144,set,2
145,healthi,2
146,team,2
147,home,2
148,life,2
149,off,2
150,machin,2
151,am,2
152,let,2
153,student,2
154,high,2
155,order,2
156,well,2
157,sale,2
158,tri,2
159,friend,2
160,happi,2
161,nutrit,2
162,class,2
163,visit,2
164,move,2
165,chang,2
166,monday,2
167,made,2
168,pm,2
169,part,2
170,food,2
171,job,2
172,uk,2
173,latest,2
174,data,2
175,say,2
176,link,2
177,system,2
178,industri,2
179,click,2
180,appli,2
181,develop,2
182,bio,2
183,tech,2
184,inform,2
185,manag,2
186,where,2
187,hire,2
188,provid,2
189,technolog,2
190,give,2
191,could,2
192,them,2
193,pay,2
194,foodi,2
195,digit,2
196,innov,2
197,anyon,2
198,podcast,2
199,project,2
200,senior,2
201,next,2
202,nowhir,2
203,includ,2
204,control,2
205,ever,2
206,land,2
207,interest,2
208,onlin,2
209,plant,2
210,full,2
211,pleas,2
212,offer,2
213,manufactur,2
214,gym,1
215,workout,1
216,fitnessmotiv,1
217,tweet,1
218,motiv,1
219,fitgirl,1
220,sport,1
221,exercis,1
222,bodybuild,1
223,daili,1
224,gymmotiv,1
225,post,1
226,muscl,1
227,black,1
228,yoga,1
229,weight,1
230,gymlif,1
231,bodi,1
232,wolbar,1
233,leg,1
234,men,1
235,equip,1
236,run,1
237,footbal,1
238,feel,1
239,ship,1
240,cardio,1
241,white,1
242,goal,1
243,stay,1
244,morn,1
245,cloth,1
246,websit,1
247,taught,1
248,colleg,1
249,x,1
250,lawenforc,1
251,keep,1
252,weightlift,1
253,shirt,1
254,yesx,1
255,yx,1
256,box,1
257,buy,1
258,fat,1
259,wear,1
260,lift,1
261,push,1
262,bicep,1
263,fitfam,1
264,sweat,1
265,hard,1
266,squat,1
267,contact,1
268,athlet,1
269,hiit,1
270,supplement,1
271,short,1
272,never,1
273,lifestyl,1
274,protein,1
275,jordan,1
276,activ,1
277,treadmil,1
278,hit,1
279,focu,1
280,arm,1
281,botan,1
282,strength,1
283,sportswear,1
284,crossfit,1
285,healthylifestyl,1
286,commerci,1
287,gain,1
288,dm,1
289,yourself,1
290,coach,1
291,person,1
292,girl,1
293,applewatch,1
294,trainer,1
295,fashion,1
296,weightloss,1
297,again,1
298,spot,1
299,alway,1
300,chest,1
301,legday,1
302,teamast,1
303,tag,1
304,even,1
305,instagram,1
306,friday,1
307,startup,1
308,shoulder,1
309,minut,1
310,lb,1
311,personaltrain,1
312,avail,1
313,domain,1
314,code,1
315,pant,1
316,befor,1
317,tfam,1
318,logo,1
319,inspir,1
320,then,1
321,waist,1
322,sneaker,1
323,result,1
324,usa,1
325,avocado,1
326,burn,1
327,govern,1
328,boov,1
329,economi,1
330,covid,1
331,lago,1
332,educ,1
333,state,1
334,polit,1
335,law,1
336,govt,1
337,india,1
338,feedli,1
339,secur,1
340,vaccin,1
341,against,1
342,polic,1
343,should,1
344,school,1
345,bank,1
346,public,1
347,allow,1
348,agenc,1
349,other,1
350,nation,1
351,million,1
352,tax,1
353,feder,1
354,countri,1
355,plan,1
356,nigeria,1
357,creat,1
358,ani,1
359,money,1
360,gt,1
361,corrupt,1
362,commun,1
363,offic,1
364,billion,1
365,fund,1
366,oyo,1
367,problem,1
368,protect,1
369,analyst,1
370,improv,1
371,n,1
372,announc,1
373,mani,1
374,bill,1
375,minist,1
376,leader,1
377,gener,1
378,media,1
379,u,1
380,he,1
381,under,1
382,elect,1
383,local,1
384,american,1
385,must,1
386,ask,1
387,invest,1
388,court,1
389,still,1
390,delta,1
391,protest,1
392,governor,1
393,hi,1
394,stop,1
395,privat,1
396,citi,1
397,ban,1
398,report,1
399,also,1
400,econom,1
401,contract,1
402,hous,1
403,employe,1
404,ekiti,1
405,china,1
406,own,1
407,forc,1
408,scheme,1
409,offici,1
410,w,1
411,presid,1
412,road,1
413,level,1
414,increas,1
415,were,1
416,risk,1
417,said,1
418,recip,1
419,cook,1
420,eat,1
421,delici,1
422,chicken,1
423,postcard,1
424,dinner,1
425,lunch,1
426,restaur,1
427,easi,1
428,cake,1
429,bake,1
430,meal,1
431,breakfast,1
432,pizza,1
433,drink,1
434,awesom,1
435,travel,1
436,salad,1
437,chef,1
438,homemad,1
439,bread,1
440,hr,1
441,fri,1
442,soup,1
443,fresh,1
444,eddm,1
445,chees,1
446,organ,1
447,postcarddesign,1
448,chocol,1
449,flyer,1
450,banner,1
451,tuesday,1
452,rice,1
453,vegan,1
454,enjoy,1
455,burger,1
456,yummi,1
457,deliveri,1
458,kitchen,1
459,special,1
460,tast,1
461,beef,1
462,realstat,1
463,tasti,1
464,last,1
465,sweet,1
466,taco,1
467,meat,1
468,sandwich,1
469,fun,1
470,coffe,1
471,snack,1
472,blog,1
473,wine,1
474,natur,1
475,egg,1
476,fruit,1
477,dish,1
478,cooki,1
479,potato,1
480,dessert,1
481,serv,1
482,price,1
483,farm,1
484,amaz,1
485,readi,1
486,treat,1
487,sauc,1
488,st,1
489,water,1
490,art,1
491,tomato,1
492,tonight,1
493,thank,1
494,hot,1
495,famili,1
496,pasta,1
497,kid,1
498,perfect,1
499,veget,1
500,fish,1
501,agricultur,1
502,oldfashionedrecip,1
503,foodblog,1
504,foodlov,1
505,got,1
506,pie,1
507,healthyfood,1
508,parti,1
509,green,1
510,place,1
511,groceri,1
512,favorit,1
513,dine,1
514,wait,1
515,youtub,1
516,flavor,1
517,engin,1
518,locat,1
519,essay,1
520,homework,1
521,assign,1
522,complet,1
523,philosophi,1
524,write,1
525,qualiti,1
526,javascript,1
527,career,1
528,program,1
529,robot,1
530,construct,1
531,cours,1
532,scienc,1
533,softwar,1
534,thermo,1
535,d,1
536,scientif,1
537,electr,1
538,r,1
539,fisher,1
540,test,1
541,valv,1
542,recommend,1
543,field,1
544,opportun,1
545,solut,1
546,introduct,1
547,biolog,1
548,optim,1
549,pc,1
550,oper,1
551,ai,1
552,math,1
553,unit,1
554,voosh,1
555,stem,1
556,lead,1
557,physic,1
558,technic,1
559,recruit,1
560,research,1
561,intern,1
562,f,1
563,view,1
564,applic,1
565,group,1
566,detail,1
567,global,1
568,environ,1
569,score,1
570,autom,1
571,futur,1
572,loader,1
573,role,1
574,might,1
575,energi,1
576,process,1
577,mechan,1
578,mfg,1
579,webinar,1
580,c,1
581,sme,1
582,base,1
583,co,1
584,mobil,1
585,aerospac,1
586,hear,1
587,mainten,1
588,custom,1
589,built,1
590,structur,1
591,tip,1
592,electron,1
593,onlineclass,1
594,p,1
595,network,1
596,integr,1
597,architectur,1
598,ca,1
599,technician,1
600,civil,1
601,statist,1
602,turn,1
603,safeti,1
604,expert,1
605,specialist,1
606,current,1
607,e,1
608,univers,1
609,spain,1
610,consult,1
611,posit,1
