,Word,Frequency
0,the,4
1,to,4
2,in,4
3,of,4
4,and,4
5,is,4
6,a,4
7,for,4
8,s,4
9,on,4
10,thi,4
11,it,4
12,be,4
13,that,4
14,with,4
15,will,4
16,you,4
17,i,4
18,we,4
19,are,4
20,t,4
21,at,4
22,amp,4
23,an,4
24,have,4
25,not,4
26,by,4
27,from,4
28,all,4
29,your,4
30,as,4
31,if,4
32,about,4
33,or,4
34,what,4
35,our,4
36,can,4
37,hi,4
38,make,4
39,but,4
40,time,4
41,come,4
42,so,4
43,new,4
44,like,4
45,now,4
46,there,4
47,how,4
48,out,4
49,when,4
50,get,4
51,let,4
52,us,4
53,do,4
54,up,4
55,take,4
56,today,4
57,need,4
58,m,4
59,help,4
60,re,4
61,don,4
62,my,4
63,open,4
64,me,4
65,look,4
66,week,4
67,here,4
68,use,4
69,some,4
70,follow,4
71,wa,3
72,ha,3
73,who,3
74,they,3
75,no,3
76,peopl,3
77,polit,3
78,next,3
79,one,3
80,after,3
81,more,3
82,go,3
83,year,3
84,just,3
85,day,3
86,their,3
87,want,3
88,via,3
89,over,3
90,been,3
91,know,3
92,great,3
93,back,3
94,first,3
95,post,3
96,onli,3
97,watch,3
98,most,3
99,live,3
100,check,3
101,part,3
102,ani,3
103,see,3
104,join,3
105,start,3
106,work,3
107,best,3
108,good,3
109,free,3
110,trump,2
111,he,2
112,dure,2
113,call,2
114,march,2
115,biden,2
116,news,2
117,whi,2
118,say,2
119,everi,2
120,covid,2
121,th,2
122,should,2
123,u,2
124,law,2
125,leader,2
126,win,2
127,run,2
128,had,2
129,gop,2
130,last,2
131,her,2
132,power,2
133,than,2
134,chang,2
135,two,2
136,tri,2
137,citi,2
138,other,2
139,show,2
140,befor,2
141,mani,2
142,still,2
143,report,2
144,which,2
145,charg,2
146,countri,2
147,student,2
148,secur,2
149,think,2
150,hr,2
151,order,2
152,talk,2
153,into,2
154,stori,2
155,gt,2
156,lifestyl,2
157,histori,2
158,busi,2
159,team,2
160,love,2
161,miss,2
162,life,2
163,build,2
164,learn,2
165,way,2
166,well,2
167,book,2
168,share,2
169,women,2
170,sale,2
171,black,2
172,lesson,2
173,keep,2
174,studi,2
175,better,2
176,video,2
177,full,2
178,alway,2
179,down,2
180,project,2
181,d,2
182,happi,2
183,ever,2
184,school,2
185,health,2
186,these,2
187,c,2
188,educ,2
189,avail,2
190,within,2
191,top,2
192,review,2
193,program,2
194,readi,2
195,hard,2
196,done,2
197,complet,2
198,give,2
199,offer,2
200,onlin,2
201,elect,1
202,vote,1
203,end,1
204,parti,1
205,state,1
206,democrat,1
207,presid,1
208,republican,1
209,candid,1
210,regist,1
211,campaign,1
212,again,1
213,fraud,1
214,bjp,1
215,pragmat,1
216,ubi,1
217,poll,1
218,poverti,1
219,recycl,1
220,voter,1
221,govern,1
222,america,1
223,would,1
224,unemploy,1
225,right,1
226,congress,1
227,india,1
228,presidenti,1
229,pm,1
230,bill,1
231,american,1
232,georgia,1
233,may,1
234,senat,1
235,media,1
236,even,1
237,ballot,1
238,meet,1
239,result,1
240,support,1
241,seat,1
242,rule,1
243,announc,1
244,court,1
245,dutch,1
246,said,1
247,offici,1
248,won,1
249,democraci,1
250,usa,1
251,conserv,1
252,healthcar,1
253,gener,1
254,fact,1
255,break,1
256,counti,1
257,offic,1
258,israel,1
259,hope,1
260,iran,1
261,hold,1
262,did,1
263,committe,1
264,mayor,1
265,steal,1
266,local,1
267,site,1
268,hous,1
269,former,1
270,donald,1
271,shirt,1
272,ask,1
273,council,1
274,maga,1
275,must,1
276,thought,1
277,cycl,1
278,much,1
279,short,1
280,against,1
281,protest,1
282,nomin,1
283,were,1
284,sleev,1
285,person,1
286,system,1
287,place,1
288,feder,1
289,china,1
290,bengal,1
291,canada,1
292,claim,1
293,board,1
294,minist,1
295,happen,1
296,major,1
297,assam,1
298,b,1
299,repeat,1
300,russia,1
301,issu,1
302,head,1
303,investig,1
304,contest,1
305,integr,1
306,r,1
307,ahead,1
308,chief,1
309,commiss,1
310,stop,1
311,could,1
312,lawmak,1
313,also,1
314,didn,1
315,netherland,1
316,cultur,1
317,societi,1
318,music,1
319,listen,1
320,world,1
321,art,1
322,play,1
323,song,1
324,read,1
325,buy,1
326,radio,1
327,nigeria,1
328,leadership,1
329,hey,1
330,creat,1
331,histor,1
332,ft,1
333,celebr,1
334,compani,1
335,podcast,1
336,pandem,1
337,might,1
338,digit,1
339,feat,1
340,coronaviru,1
341,provid,1
342,thing,1
343,divers,1
344,travel,1
345,strategi,1
346,tradit,1
347,ve,1
348,big,1
349,employe,1
350,commun,1
351,style,1
